,Curso,Categorização do trabalho,"Se você tivesse oportunidade, aderiria ao trabalho remoto?",Como você acredita que o trabalho remoto possa afetar os estudos?,Você acredita que a carga horária do trabalho remoto em relação ao presencial é:,Você acredita que o rendimento no trabalho remoto em relação ao presencial é?,Qual é a sua vontade de trabalhar remotamente?,Você teria algum motivo para não trabalhar remotamente?,Tipo de trabalho
51,Engenharia Mecânica,Não empregado,Sim,Neutro,Maior,Igual,7.0,,Não empregado
52,Sistemas de Informação,Não empregado,Sim,Negativamente,Igual,Menor,3.0,,Não empregado
53,Sistemas de Informação,Não empregado,Sim,Neutro,Igual,Igual,9.0,,Não empregado
54,Química Bacharelado,Não empregado,Sim,Negativamente,Igual,Igual,10.0,conciliar a faculdade em período integral com o trabalho,Não empregado
55,Engenharia de Energia,Não empregado,Sim,Neutro,Igual,Maior,9.0,,Não empregado
56,Física Bacharelado,Não empregado,Sim,Negativamente,Igual,Igual,7.0,"Somente se exigisse muito a minha presença fisica, não seguindo assim os protocolos de saúde e podendo colocar a minha vida em risco e a dos meus familiares.",Não empregado
57,Química Licenciatura,Não empregado,Sim,Negativamente,Maior,Menor,1.0,,Não empregado
58,Química Licenciatura,Não empregado,Sim,Negativamente,Maior,Igual,1.0,,Não empregado
59,Matemática Bacharelado,Não empregado,Sim,Neutro,Menor,Menor,5.0,"Por conta de ser em casa,  nao ter espaço adequado pra isso",Não empregado
60,Engenharia Ambiental,Não empregado,Sim,Negativamente,Maior,Menor,8.0,,Não empregado
61,Sistemas de Informação,Empregado,Sim,Neutro,Maior,Maior,10.0,Não iria conseguir um local adequado em casa para realizar o trabalho remoto ,Presencial
62,Sistemas de Informação,Empregado,Não,Positivamente,Igual,Maior,10.0,Não,Presencial
63,Sistemas de Informação,Empregado,Sim,Positivamente,Maior,Maior,10.0,Não,Presencial
64,Física Bacharelado,Empregado,Sim,Negativamente,Menor,Menor,5.0,,Presencial
65,Engenharia Química,Empregado,Sim,Neutro,Igual,Igual,10.0,Não,Presencial
66,Química Licenciatura,Empregado,Não,Neutro,Maior,Menor,1.0,O tipo de trabalho que eu exerço não é possível remotamente.,Presencial
67,Sistemas de Informação,Empregado,Sim,Neutro,Igual,Menor,6.0,Sim,Presencial
68,Ciência da Computação,Empregado,Não,Negativamente,Maior,Igual,7.0,,Presencial
69,Química Licenciatura,Empregado,Não,Neutro,Maior,Menor,1.0,,Presencial
70,Sistemas de Informação,Empregado,Não,Neutro,Maior,Menor,7.0,Acredito que a comodidade de estar em casa afeta o desempenho no trabalho.,Presencial
71,Engenharia Ambiental,Empregado,Sim,Neutro,Igual,Menor,8.0,,Presencial
72,Física Bacharelado,Empregado,Sim,Neutro,Maior,Menor,8.0,Não,Presencial
73,Sistemas de Informação,Empregado,Sim,Neutro,Igual,Igual,10.0,,Presencial
74,Sistemas de Informação,Empregado,Sim,Neutro,Maior,Menor,8.0,Acredito que trabalho remoto pode ser afetado pelo excesso de conforto de estar em casa.,Presencial
